idea_id,title,tagline,description,problem_statement,domain,category,required_skills,team_size,complexity_level,estimated_timeline,what_you_need,technologies,original_stars,original_forks,source,repository_url
1,AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.","AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",There's a gap in accessible solutions for Artificial Intelligence & ML problems.,Artificial Intelligence & ML,ai_trending,"[""HTML"", ""Dart"", ""Ruby"", ""Backend"", ""Jinja"", ""CMake"", ""Dockerfile"", ""Objective-C""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: HTML, Dart, Ruby. Open to learning together!","[""ai"", ""artificial-intelligence"", ""autonomous-agents"", ""gpt-4"", ""llama-api"", ""openai""]",178808,45996,github_transformed,https://github.com/Significant-Gravitas/AutoGPT
2,LLMs-from-scratch,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step","Implement a ChatGPT-like LLM in PyTorch from scratch, step by step

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",There's a gap in accessible solutions for Artificial Intelligence & ML problems.,Artificial Intelligence & ML,ai_trending,"[""Jupyter Notebook"", ""LLMs"", ""Dockerfile"", ""NLP"", ""GPT"", ""Backend"", ""TensorFlow"", ""scikit-learn""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: Jupyter Notebook, LLMs, Dockerfile. Open to learning together!","[""ai"", ""artificial-intelligence"", ""chatgpt"", ""deep-learning"", ""from-scratch"", ""gpt""]",74238,10820,github_transformed,https://github.com/rasbt/LLMs-from-scratch
3,Deep-Live-Cam,real time face swap and one-click video deepfake with only a single image,"real time face swap and one-click video deepfake with only a single image

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",There's a gap in accessible solutions for Artificial Intelligence & ML problems.,Artificial Intelligence & ML,ai_trending,"[""TensorFlow"", ""Machine Learning"", ""Data Science"", ""Batchfile"", ""Python""]",4,High,4-6 months,"Looking for 3 team member(s) with skills in: TensorFlow, Machine Learning, Data Science. Open to learning together!","[""ai"", ""ai-deep-fake"", ""ai-face"", ""ai-webcam"", ""artificial-intelligence"", ""deep-fake""]",73712,10722,github_transformed,https://github.com/hacksider/Deep-Live-Cam
4,OpenHands,"🙌 OpenHands: Code Less, Make More","🙌 OpenHands: Code Less, Make More

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",Current Artificial Intelligence & ML tools are either too complex or too limited for student projects.,Artificial Intelligence & ML,ai_trending,"[""TypeScript"", ""LLMs"", ""Dockerfile"", ""NLP"", ""GPT"", ""JavaScript"", ""Jinja"", ""Makefile""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: TypeScript, LLMs, Dockerfile. Open to learning together!","[""agent"", ""artificial-intelligence"", ""chatgpt"", ""claude-ai"", ""cli"", ""developer-tools""]",63928,7728,github_transformed,https://github.com/All-Hands-AI/OpenHands
5,Flowise,"Build AI Agents, Visually","Build AI Agents, Visually

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",There's a gap in accessible solutions for Artificial Intelligence & ML problems.,Artificial Intelligence & ML,ai_trending,"[""HTML"", ""TypeScript"", ""LLMs"", ""HTML/CSS"", ""SCSS"", ""Dockerfile"", ""JavaScript"", ""Shell""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: HTML, TypeScript, LLMs. Open to learning together!","[""agentic-ai"", ""agentic-workflow"", ""agents"", ""artificial-intelligence"", ""chatbot"", ""chatgpt""]",44106,22545,github_transformed,https://github.com/FlowiseAI/Flowise
6,AI-For-Beginners,"12 Weeks, 24 Lessons, AI for All!","12 Weeks, 24 Lessons, AI for All!

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",Current Artificial Intelligence & ML tools are either too complex or too limited for student projects.,Artificial Intelligence & ML,ai_trending,"[""Jupyter Notebook"", ""HTML"", ""PyTorch"", ""Image Processing"", ""Computer Vision"", ""Neural Networks"", ""ML Algorithms"", ""Transformers""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: Jupyter Notebook, HTML, PyTorch. Open to learning together!","[""ai"", ""artificial-intelligence"", ""cnn"", ""computer-vision"", ""deep-learning"", ""gan""]",42869,8309,github_transformed,https://github.com/microsoft/AI-For-Beginners
7,kong,🦍 The Cloud-Native Gateway for APIs & AI,"🦍 The Cloud-Native Gateway for APIs & AI

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",Building Artificial Intelligence & ML applications requires expertise that's not easily accessible to students.,Artificial Intelligence & ML,ai_trending,"[""Perl"", ""Dockerfile"", ""TensorFlow"", ""Machine Learning"", ""Makefile"", ""Shell"", ""CSS"", ""Lua""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: Perl, Dockerfile, TensorFlow. Open to learning together!","[""ai"", ""ai-gateway"", ""api-gateway"", ""api-management"", ""apis"", ""artificial-intelligence""]",41886,4998,github_transformed,https://github.com/Kong/kong
8,spaCy,💫 Industrial-strength Natural Language Processing (NLP) in Python,"💫 Industrial-strength Natural Language Processing (NLP) in Python

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",Building Artificial Intelligence & ML applications requires expertise that's not easily accessible to students.,Artificial Intelligence & ML,ai_trending,"[""HTML"", ""Cython"", ""PyTorch"", ""Backend"", ""Neural Networks"", ""ML Algorithms"", ""Transformers"", ""Pandas""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: HTML, Cython, PyTorch. Open to learning together!","[""ai"", ""artificial-intelligence"", ""cython"", ""data-science"", ""deep-learning"", ""entity-linking""]",32580,4588,github_transformed,https://github.com/explosion/spaCy
9,fairseq,Facebook AI Research Sequence-to-Sequence Toolkit written in Python.,"Facebook AI Research Sequence-to-Sequence Toolkit written in Python.

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",Current Artificial Intelligence & ML tools are either too complex or too limited for student projects.,Artificial Intelligence & ML,ai_trending,"[""Deep Learning"", ""C++"", ""Cython"", ""PyTorch"", ""Shell"", ""Cuda"", ""Lua"", ""Backend""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: Deep Learning, C++, Cython. Open to learning together!","[""artificial-intelligence"", ""python"", ""pytorch""]",31849,6605,github_transformed,https://github.com/facebookresearch/fairseq
10,AI-Expert-Roadmap,Roadmap to becoming an Artificial Intelligence Expert in 2022,"Roadmap to becoming an Artificial Intelligence Expert in 2022

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",There's a gap in accessible solutions for Artificial Intelligence & ML problems.,Artificial Intelligence & ML,ai_trending,"[""Pandas"", ""JavaScript"", ""TensorFlow"", ""scikit-learn"", ""Machine Learning"", ""PyTorch"", ""Vue"", ""Stylus""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: Pandas, JavaScript, TensorFlow. Open to learning together!","[""ai"", ""ai-roadmap"", ""artificial-intelligence"", ""data-analysis"", ""data-science"", ""deep-learning""]",30334,2540,github_transformed,https://github.com/AMAI-GmbH/AI-Expert-Roadmap
